"","agency","year","Count","sal"
"1","ADMINISTRATION FOR CHILDRE",2014,1432,59732.3966480447
"2","ADMINISTRATION FOR CHILDRE",2015,1553,62590.8274307791
"3","ADMINISTRATION FOR CHILDRE",2016,1482,63971.0087719298
"4","ADMINISTRATION FOR CHILDRE",2017,1648,66180.0072815534
"5","BOARD OF CORRECTIONS",2014,4,66685
"6","BOARD OF CORRECTIONS",2015,5,69880.2
"7","BOARD OF CORRECTIONS",2016,4,71354.25
"8","BOARD OF CORRECTIONS",2017,9,67972.1111111111
"9","BOROUGH PRESIDENT-BRONX",2014,34,66180.3235294118
"10","BOROUGH PRESIDENT-BRONX",2015,32,62412.125
"11","BOROUGH PRESIDENT-BRONX",2016,30,64474.5333333333
"12","BOROUGH PRESIDENT-BRONX",2017,30,64928.7
"13","BOROUGH PRESIDENT-BROOKLYN",2014,32,55475.84375
"14","BOROUGH PRESIDENT-BROOKLYN",2015,37,56183.5675675676
"15","BOROUGH PRESIDENT-BROOKLYN",2016,33,59080.8181818182
"16","BOROUGH PRESIDENT-BROOKLYN",2017,33,60662.1212121212
"17","BOROUGH PRESIDENT-MANHATTA",2014,28,62518.0978571429
"18","BOROUGH PRESIDENT-MANHATTA",2015,31,63838.1529032258
"19","BOROUGH PRESIDENT-MANHATTA",2016,24,61119.4891666667
"20","BOROUGH PRESIDENT-MANHATTA",2017,29,60928.5427586207
"21","BOROUGH PRESIDENT-QUEENS",2014,34,53073.6470588235
"22","BOROUGH PRESIDENT-QUEENS",2015,39,55643.6153846154
"23","BOROUGH PRESIDENT-QUEENS",2016,34,56415.1470588235
"24","BOROUGH PRESIDENT-QUEENS",2017,35,58138.6285714286
"25","BOROUGH PRESIDENT-RICHMOND",2014,14,60866.5714285714
"26","BOROUGH PRESIDENT-RICHMOND",2015,15,62099.6
"27","BOROUGH PRESIDENT-RICHMOND",2016,14,63843
"28","BOROUGH PRESIDENT-RICHMOND",2017,15,64391
"29","BUSINESS INTEGRITY COMMISS",2014,52,70927.1923076923
"30","BUSINESS INTEGRITY COMMISS",2015,64,71922.078125
"31","BUSINESS INTEGRITY COMMISS",2016,59,69806.2542372881
"32","BUSINESS INTEGRITY COMMISS",2017,71,68089.7042253521
"33","CAMPAIGN FINANCE BOARD",2014,9,117336.222222222
"34","CAMPAIGN FINANCE BOARD",2015,10,129195.8
"35","CAMPAIGN FINANCE BOARD",2016,6,154937.666666667
"36","CAMPAIGN FINANCE BOARD",2017,4,160581
"37","CITY CLERK",2014,42,48788.4285714286
"38","CITY CLERK",2015,53,47443.1698113208
"39","CITY CLERK",2016,45,46516.6
"40","CITY CLERK",2017,51,47426.0588235294
"41","CIVIL SERVICE COMMISSION",2014,4,40472.5
"42","CIVIL SERVICE COMMISSION",2015,7,63678.4285714286
"43","CIVIL SERVICE COMMISSION",2016,6,70340.5
"44","CIVIL SERVICE COMMISSION",2017,7,73065.8571428571
"45","CIVILIAN COMPLAINT REVIEW",2014,31,72648.2235483871
"46","CIVILIAN COMPLAINT REVIEW",2015,40,71804.85
"47","CIVILIAN COMPLAINT REVIEW",2016,32,73885.59375
"48","CIVILIAN COMPLAINT REVIEW",2017,41,82233.4878048781
"49","COMMISSION ON HUMAN RIGHTS",2014,27,56460.3333333333
"50","COMMISSION ON HUMAN RIGHTS",2015,40,68989.25
"51","COMMISSION ON HUMAN RIGHTS",2016,45,75397.2444444444
"52","COMMISSION ON HUMAN RIGHTS",2017,81,73055.2839506173
"53","CONFLICTS OF INTEREST BOAR",2014,15,85216.6666666667
"54","CONFLICTS OF INTEREST BOAR",2015,15,93679.6
"55","CONFLICTS OF INTEREST BOAR",2016,15,87350
"56","CONFLICTS OF INTEREST BOAR",2017,19,93880.8421052632
"57","DEPARTMENT FOR THE AGING",2014,152,58319.7171052632
"58","DEPARTMENT FOR THE AGING",2015,159,57900.8490566038
"59","DEPARTMENT FOR THE AGING",2016,169,64597.2130177515
"60","DEPARTMENT FOR THE AGING",2017,184,67081.3097826087
"61","DEPARTMENT OF BUILDINGS",2014,450,63356.5405111111
"62","DEPARTMENT OF BUILDINGS",2015,502,65153.1610956175
"63","DEPARTMENT OF BUILDINGS",2016,500,63969.77688
"64","DEPARTMENT OF BUILDINGS",2017,558,65206.6610752688
"65","DEPARTMENT OF BUSINESS SER",2014,121,62756.3388429752
"66","DEPARTMENT OF BUSINESS SER",2015,111,65800.7207207207
"67","DEPARTMENT OF BUSINESS SER",2016,72,71019.6805555556
"68","DEPARTMENT OF BUSINESS SER",2017,81,71233.3950617284
"69","DEPARTMENT OF CITY PLANNIN",2014,57,72693.2807017544
"70","DEPARTMENT OF CITY PLANNIN",2015,67,74579.8059701493
"71","DEPARTMENT OF CITY PLANNIN",2016,77,72363.3636363636
"72","DEPARTMENT OF CITY PLANNIN",2017,113,71399.2477876106
"73","DEPARTMENT OF CITYWIDE ADM",2014,523,65958.708374761
"74","DEPARTMENT OF CITYWIDE ADM",2015,609,70890.0448275862
"75","DEPARTMENT OF CITYWIDE ADM",2016,615,72400.8092682927
"76","DEPARTMENT OF CITYWIDE ADM",2017,734,73292.0299046322
"77","DEPARTMENT OF CONSUMER AFF",2014,276,57146.0905797101
"78","DEPARTMENT OF CONSUMER AFF",2015,331,56942.7129909366
"79","DEPARTMENT OF CONSUMER AFF",2016,267,59386.8164794007
"80","DEPARTMENT OF CONSUMER AFF",2017,312,61447.0320512821
"81","DEPARTMENT OF CORRECTION",2014,278,67993.5532374101
"82","DEPARTMENT OF CORRECTION",2015,414,75326.0236714976
"83","DEPARTMENT OF CORRECTION",2016,441,74782.6507936508
"84","DEPARTMENT OF CORRECTION",2017,517,74263.9883945841
"85","DEPARTMENT OF CULTURAL AFF",2014,28,76014.7142857143
"86","DEPARTMENT OF CULTURAL AFF",2015,30,74817.1666666667
"87","DEPARTMENT OF CULTURAL AFF",2016,29,74413.8620689655
"88","DEPARTMENT OF CULTURAL AFF",2017,30,74398.8666666667
"89","DEPARTMENT OF DESIGN AND C",2014,262,68628.0992366412
"90","DEPARTMENT OF DESIGN AND C",2015,311,67189.0526045016
"91","DEPARTMENT OF DESIGN AND C",2016,284,70203.4154929577
"92","DEPARTMENT OF DESIGN AND C",2017,314,70152.3121019108
"93","DEPARTMENT OF EDUCATION",2014,3916,52146.3186925434
"94","DEPARTMENT OF EDUCATION",2015,4477,53797.003127094
"95","DEPARTMENT OF EDUCATION",2016,4131,55224.4742193174
"96","DEPARTMENT OF EDUCATION",2017,4731,57837.2547030226
"97","DEPARTMENT OF ENVIRONMENTA",2014,1054,61005.9174573055
"98","DEPARTMENT OF ENVIRONMENTA",2015,1165,63481.3630901288
"99","DEPARTMENT OF ENVIRONMENTA",2016,1126,65811.3996447602
"100","DEPARTMENT OF ENVIRONMENTA",2017,1190,68438.5848739496
"101","DEPARTMENT OF FINANCE",2014,1009,66666.8414271556
"102","DEPARTMENT OF FINANCE",2015,1084,70300.2712177122
"103","DEPARTMENT OF FINANCE",2016,1015,72426.5536945813
"104","DEPARTMENT OF FINANCE",2017,1069,72861.8868101029
"105","DEPARTMENT OF HEALTH AND M",2014,1151,62259.7237185056
"106","DEPARTMENT OF HEALTH AND M",2015,1239,65749.6803874092
"107","DEPARTMENT OF HEALTH AND M",2016,1246,65934.5561797753
"108","DEPARTMENT OF HEALTH AND M",2017,1507,66967.1857996019
"109","DEPARTMENT OF HOMELESS SER",2014,735,53890.3850340136
"110","DEPARTMENT OF HOMELESS SER",2015,833,56218.0324129652
"111","DEPARTMENT OF HOMELESS SER",2016,852,55636.3345070423
"112","DEPARTMENT OF HOMELESS SER",2017,767,51932.6166883964
"113","DEPARTMENT OF INFORMATION",2014,595,91729.0352941177
"114","DEPARTMENT OF INFORMATION",2015,730,98706.0602739726
"115","DEPARTMENT OF INFORMATION",2016,767,100088.62190352
"116","DEPARTMENT OF INFORMATION",2017,771,100495.173800259
"117","DEPARTMENT OF INVESTIGATIO",2014,67,63854.1641791045
"118","DEPARTMENT OF INVESTIGATIO",2015,70,65364.1428571429
"119","DEPARTMENT OF INVESTIGATIO",2016,81,67926.037037037
"120","DEPARTMENT OF INVESTIGATIO",2017,84,68471.8452380952
"121","DEPARTMENT OF PARKS & RECR",2014,823,60756.6330498177
"122","DEPARTMENT OF PARKS & RECR",2015,927,62375.1272923409
"123","DEPARTMENT OF PARKS & RECR",2016,911,64231.0384193194
"124","DEPARTMENT OF PARKS & RECR",2017,985,65723.7949238579
"125","DEPARTMENT OF PROBATION",2014,201,51078.8208955224
"126","DEPARTMENT OF PROBATION",2015,203,53093.8325123153
"127","DEPARTMENT OF PROBATION",2016,175,56425.04
"128","DEPARTMENT OF PROBATION",2017,198,59129.7272727273
"129","DEPARTMENT OF SANITATION",2014,585,56913.4290598291
"130","DEPARTMENT OF SANITATION",2015,665,59591.5593984962
"131","DEPARTMENT OF SANITATION",2016,616,62590.8506493507
"132","DEPARTMENT OF SANITATION",2017,669,63328.5889387145
"133","DEPARTMENT OF TRANSPORTATI",2014,865,61253.0358381503
"134","DEPARTMENT OF TRANSPORTATI",2015,949,63212.5669125395
"135","DEPARTMENT OF TRANSPORTATI",2016,885,65734.7762711864
"136","DEPARTMENT OF TRANSPORTATI",2017,983,66812.2960325534
"137","DEPARTMENT OF VETERANS' SE",2016,11,56021.7272727273
"138","DEPARTMENT OF VETERANS' SE",2017,17,57486.5882352941
"139","DEPARTMENT OF YOUTH AND CO",2014,165,74929.5939393939
"140","DEPARTMENT OF YOUTH AND CO",2015,210,76889.9238095238
"141","DEPARTMENT OF YOUTH AND CO",2016,182,78565.1813186813
"142","DEPARTMENT OF YOUTH AND CO",2017,210,82335.8666666667
"143","DEPT. OF RECORDS AND INFOR",2014,24,54503.375
"144","DEPT. OF RECORDS AND INFOR",2015,27,63429.4444444444
"145","DEPT. OF RECORDS AND INFOR",2016,21,63211.9523809524
"146","DEPT. OF RECORDS AND INFOR",2017,32,66596.75
"147","DISTRICT ATTORNEY-BRONX CO",2014,301,41808.7408637874
"148","DISTRICT ATTORNEY-BRONX CO",2015,336,42673.4107142857
"149","DISTRICT ATTORNEY-BRONX CO",2016,378,43429.5608465608
"150","DISTRICT ATTORNEY-BRONX CO",2017,440,43473.8931818182
"151","DISTRICT ATTORNEY-KINGS CO",2014,418,48331.3899521531
"152","DISTRICT ATTORNEY-KINGS CO",2015,492,49356.5548780488
"153","DISTRICT ATTORNEY-KINGS CO",2016,424,47611.4740566038
"154","DISTRICT ATTORNEY-KINGS CO",2017,479,47552.0375782881
"155","DISTRICT ATTORNEY-NEW YORK",2014,614,54091.8631921824
"156","DISTRICT ATTORNEY-NEW YORK",2015,756,54667.0066137566
"157","DISTRICT ATTORNEY-NEW YORK",2016,630,53393.7666666667
"158","DISTRICT ATTORNEY-NEW YORK",2017,772,51702.439119171
"159","DISTRICT ATTORNEY-QUEENS C",2014,190,47065.1368421053
"160","DISTRICT ATTORNEY-QUEENS C",2015,226,47759.8539823009
"161","DISTRICT ATTORNEY-QUEENS C",2016,227,46908.4537444934
"162","DISTRICT ATTORNEY-QUEENS C",2017,267,47506.7528089888
"163","DISTRICT ATTORNEY-RICHMOND",2014,39,58498.6666666667
"164","DISTRICT ATTORNEY-RICHMOND",2015,41,60704.3658536585
"165","DISTRICT ATTORNEY-RICHMOND",2016,52,59367.4038461538
"166","DISTRICT ATTORNEY-RICHMOND",2017,62,60215.8709677419
"167","DISTRICT ATTORNEY - SPECIA",2014,60,65773.5833333333
"168","DISTRICT ATTORNEY - SPECIA",2015,66,68018.8333333333
"169","DISTRICT ATTORNEY - SPECIA",2016,63,64878.6031746032
"170","DISTRICT ATTORNEY - SPECIA",2017,73,65126.6438356164
"171","EQUAL EMPLOYMENT PRACTICES",2014,5,75937
"172","EQUAL EMPLOYMENT PRACTICES",2015,7,74048.2857142857
"173","EQUAL EMPLOYMENT PRACTICES",2016,6,65169.7466666667
"174","EQUAL EMPLOYMENT PRACTICES",2017,7,67345.7142857143
"175","FINANCIAL INFORMATION SERV",2014,365,102505.534246575
"176","FINANCIAL INFORMATION SERV",2015,405,107245.313580247
"177","FINANCIAL INFORMATION SERV",2016,371,111566.216981132
"178","FINANCIAL INFORMATION SERV",2017,384,112289.946614583
"179","FIRE DEPARTMENT",2014,470,65196.9936170213
"180","FIRE DEPARTMENT",2015,531,68737.9246704331
"181","FIRE DEPARTMENT",2016,519,71687.3352601156
"182","FIRE DEPARTMENT",2017,554,74185.6823104693
"183","HOUSING PRESERVATION & DEV",2014,1020,56206.6588235294
"184","HOUSING PRESERVATION & DEV",2015,1172,57669.9453924915
"185","HOUSING PRESERVATION & DEV",2016,1157,60740.5816767502
"186","HOUSING PRESERVATION & DEV",2017,1315,63204.4012015209
"187","HRA/DEPARTMENT OF SOCIAL S",2014,4204,55579.8541864891
"188","HRA/DEPARTMENT OF SOCIAL S",2015,4361,58077.0720018344
"189","HRA/DEPARTMENT OF SOCIAL S",2016,4022,59470.8043262059
"190","HRA/DEPARTMENT OF SOCIAL S",2017,4485,61813.3663322185
"191","INDEPENDENT BUDGET OFFICE",2014,2,68741
"192","INDEPENDENT BUDGET OFFICE",2015,2,71884
"193","INDEPENDENT BUDGET OFFICE",2016,2,73692.5
"194","INDEPENDENT BUDGET OFFICE",2017,2,79167
"195","LANDMARKS PRESERVATION COM",2014,10,62070
"196","LANDMARKS PRESERVATION COM",2015,14,60507.8571428571
"197","LANDMARKS PRESERVATION COM",2016,12,62791.5
"198","LANDMARKS PRESERVATION COM",2017,15,62037.5333333333
"199","LAW DEPARTMENT",2014,197,51145.2081218274
"200","LAW DEPARTMENT",2015,214,51578.0514018692
"201","LAW DEPARTMENT",2016,213,53538.9107981221
"202","LAW DEPARTMENT",2017,227,54783.8766519824
"203","MAYOR'S OFFICE OF CONTRACT",2016,3,109305
"204","MAYOR'S OFFICE OF CONTRACT",2017,27,112573.555555556
"205","N.Y.C. HOUSING AUTHORITY",2014,1627,55747.0952673632
"206","N.Y.C. HOUSING AUTHORITY",2015,1623,58875.0326555761
"207","N.Y.C. HOUSING AUTHORITY",2016,1403,60317.7883107627
"208","N.Y.C. HOUSING AUTHORITY",2017,1413,61586.5279547063
"209","NEW YORK CITY FIRE PENSION",2017,15,74262.3333333333
"210","NYC EMPLOYEES' RETIREMENT",2014,137,69702.2700729927
"211","NYC EMPLOYEES' RETIREMENT",2015,148,72584.8716216216
"212","NYC EMPLOYEES' RETIREMENT",2016,142,75762.0774647887
"213","NYC EMPLOYEES' RETIREMENT",2017,155,77432.9548387097
"214","NYC POLICE PENSION FUND",2014,80,64750.975
"215","NYC POLICE PENSION FUND",2015,85,66887.7647058823
"216","NYC POLICE PENSION FUND",2016,77,67441.987012987
"217","NYC POLICE PENSION FUND",2017,89,65829.202247191
"218","OFFICE OF ADMINISTRATIVE T",2014,190,63935.6157894737
"219","OFFICE OF ADMINISTRATIVE T",2015,199,69168.3316582915
"220","OFFICE OF ADMINISTRATIVE T",2016,183,70081.1912568306
"221","OFFICE OF ADMINISTRATIVE T",2017,247,67864.6194331984
"222","OFFICE OF COLLECTIVE BARGA",2014,4,71059.5
"223","OFFICE OF COLLECTIVE BARGA",2015,4,84986
"224","OFFICE OF COLLECTIVE BARGA",2016,4,88826.75
"225","OFFICE OF COLLECTIVE BARGA",2017,4,89370.25
"226","OFFICE OF EMERGENCY MANAGE",2014,16,95514.5625
"227","OFFICE OF EMERGENCY MANAGE",2015,16,89555.4375
"228","OFFICE OF EMERGENCY MANAGE",2016,13,86145.1538461538
"229","OFFICE OF EMERGENCY MANAGE",2017,11,87415.8181818182
"230","OFFICE OF LABOR RELATIONS",2014,58,65207.3965517241
"231","OFFICE OF LABOR RELATIONS",2015,70,65484
"232","OFFICE OF LABOR RELATIONS",2016,63,62848.0476190476
"233","OFFICE OF LABOR RELATIONS",2017,77,65058.3116883117
"234","OFFICE OF MANAGEMENT AND B",2014,19,137491.736842105
"235","OFFICE OF MANAGEMENT AND B",2015,19,147628.578947368
"236","OFFICE OF MANAGEMENT AND B",2016,17,148612.176470588
"237","OFFICE OF MANAGEMENT AND B",2017,17,148612.176470588
"238","OFFICE OF PAYROLL ADMINIST",2014,114,74751.2315789474
"239","OFFICE OF PAYROLL ADMINIST",2015,127,79013.7322834646
"240","OFFICE OF PAYROLL ADMINIST",2016,127,79635.7559055118
"241","OFFICE OF PAYROLL ADMINIST",2017,134,83551.3432835821
"242","OFFICE OF THE ACTUARY",2014,3,67432.3333333333
"243","OFFICE OF THE ACTUARY",2015,4,64398
"244","OFFICE OF THE ACTUARY",2016,5,86318.2
"245","OFFICE OF THE ACTUARY",2017,7,109554.714285714
"246","OFFICE OF THE COMPTROLLER",2014,330,76068.8
"247","OFFICE OF THE COMPTROLLER",2015,397,80812.274559194
"248","OFFICE OF THE COMPTROLLER",2016,321,83891.2866043614
"249","OFFICE OF THE COMPTROLLER",2017,320,74745.2
"250","OFFICE OF THE MAYOR",2014,49,105785.285714286
"251","OFFICE OF THE MAYOR",2015,20,110621.25
"252","OFFICE OF THE MAYOR",2016,11,99321.8181818182
"253","OFFICE OF THE MAYOR",2017,11,97544.5454545455
"254","POLICE DEPARTMENT",2014,873,62960.3424971363
"255","POLICE DEPARTMENT",2015,935,67144.1069518717
"256","POLICE DEPARTMENT",2016,892,70136.2881165919
"257","POLICE DEPARTMENT",2017,958,72621.0762004175
"258","PUBLIC ADMINISTRATOR BRONX",2014,5,44224.8
"259","PUBLIC ADMINISTRATOR BRONX",2015,5,45558.6
"260","PUBLIC ADMINISTRATOR BRONX",2016,5,44190.6
"261","PUBLIC ADMINISTRATOR BRONX",2017,5,44536.8
"262","PUBLIC ADMINISTRATOR KINGS",2014,4,39401.5
"263","PUBLIC ADMINISTRATOR KINGS",2015,6,40011.8333333333
"264","PUBLIC ADMINISTRATOR KINGS",2016,7,39048.7142857143
"265","PUBLIC ADMINISTRATOR KINGS",2017,8,42846.625
"266","PUBLIC ADMINISTRATOR NEW Y",2014,5,44355.6
"267","PUBLIC ADMINISTRATOR NEW Y",2015,5,45523.8
"268","PUBLIC ADMINISTRATOR NEW Y",2016,5,46848.6
"269","PUBLIC ADMINISTRATOR NEW Y",2017,5,47194.2
"270","PUBLIC ADMINISTRATOR QUEEN",2015,1,30750
"271","PUBLIC ADMINISTRATOR QUEEN",2016,1,31673
"272","PUBLIC ADMINISTRATOR QUEEN",2017,1,31673
"273","TAX COMMISSION",2014,16,79023.125
"274","TAX COMMISSION",2015,18,82229.1111111111
"275","TAX COMMISSION",2016,18,85772.6111111111
"276","TAX COMMISSION",2017,18,86457.5
"277","TAXI AND LIMOUSINE COMMISS",2014,225,57667.88
"278","TAXI AND LIMOUSINE COMMISS",2015,261,56518.0766283525
"279","TAXI AND LIMOUSINE COMMISS",2016,227,59023.8281938326
"280","TAXI AND LIMOUSINE COMMISS",2017,258,59757.8720930233
"281","TEACHERS' RETIREMENT SYSTE",2014,172,88712.465872093
"282","TEACHERS' RETIREMENT SYSTE",2015,161,96695.1982608696
"283","TEACHERS' RETIREMENT SYSTE",2016,160,97252.625
"284","TEACHERS' RETIREMENT SYSTE",2017,167,98581.9640718563
"285","TRIBOROUGH BRIDGE AND TUNN",2014,211,78429.7345971564
"286","TRIBOROUGH BRIDGE AND TUNN",2015,199,78070.3618090452
"287","TRIBOROUGH BRIDGE AND TUNN",2016,202,82043.8861386139
"288","TRIBOROUGH BRIDGE AND TUNN",2017,223,85334.5291479821
